title_album;artist_album;tracks_album;time_posted;any_album;likes;repost;url_album;
Ay Haiti!;Alejandro Sanz;none;2010-04-20T00:00:00.000Z;Album · 2010;5;Repost;https://soundcloud.com/alejandro-sanz-official/sets/ay-haiti-1;
Te lo agradezco, pero no (feat. Shakira) [Remixes];Alejandro Sanz;none;2007-03-06T00:00:00.000Z;Single · 2007;4;Repost;https://soundcloud.com/alejandro-sanz-official/sets/te-lo-agradezco-pero-no-feat;
Basico;Alejandro Sanz;View 10 tracks;1994-11-18T00:00:00.000Z;Album · 1994;7;Repost;https://soundcloud.com/alejandro-sanz-official/sets/basico-4;
Sirope;Alejandro Sanz;View 14 tracks;2015-08-25T00:00:00.000Z;Album · 2015;9;1;https://soundcloud.com/alejandro-sanz-official/sets/sirope-3;
Sirope Vivo;Alejandro Sanz;View 24 tracks;2015-11-27T00:00:00.000Z;Album · 2015;15;Repost;https://soundcloud.com/alejandro-sanz-official/sets/sirope-vivo;
Si tu me miras;Alejandro Sanz;View 13 tracks;1993-09-26T00:00:00.000Z;Album · 1993;17;Repost;https://soundcloud.com/alejandro-sanz-official/sets/si-tu-me-miras-edicion-2006;
El alma al aire;Alejandro Sanz;View 13 tracks;2000-09-26T00:00:00.000Z;Album · 2000;26;1;https://soundcloud.com/alejandro-sanz-official/sets/el-alma-al-aire-edicion-2006;
Sirope Vivo;Alejandro Sanz;View 25 tracks;2016-01-08T00:00:00.000Z;Album · 2016;35;5;https://soundcloud.com/alejandro-sanz-official/sets/sirope-vivo-1;
+ Es + (El Concierto / En Directo En El Estadio Vicente Calderón / 2017);Alejandro Sanz;View 13 tracks;2017-12-08T00:00:00.000Z;Album · 2017;26;Repost;https://soundcloud.com/alejandro-sanz-official/sets/es-23;
#ELDISCO;Alejandro Sanz;View 10 tracks;2019-04-05T00:00:00.000Z;Album · 2019;35;Repost;https://soundcloud.com/alejandro-sanz-official/sets/eldisco-1;
Si Tu Me Miras;Alejandro Sanz;View 10 tracks;1993-05-14T00:00:00.000Z;Album · 1993;7;Repost;https://soundcloud.com/alejandro-sanz-official/sets/si-tu-me-miras-1;
La Música No Se Toca En Vivo;Alejandro Sanz;View 14 tracks;2013-01-01T00:00:00.000Z;Album · 2013;20;3;https://soundcloud.com/alejandro-sanz-official/sets/la-musica-no-se-toca-en-vivo-2;
El Alma Al Aire: 20 Aniversario;Alejandro Sanz;View 25 tracks;2000-09-26T00:00:00.000Z;Album · 2000;3;Repost;https://soundcloud.com/alejandro-sanz-official/sets/el-alma-al-aire-20-aniversario;
Sirope Vivo;Alejandro Sanz;View 23 tracks;2015-11-27T00:00:00.000Z;Album · 2015;230;51;https://soundcloud.com/alejandro-sanz-official/sets/sirope-vivo-2;
El tren de los momentos;Alejandro Sanz;View 10 tracks;2006-11-07T00:00:00.000Z;Album · 2006;8;Repost;https://soundcloud.com/alejandro-sanz-official/sets/el-tren-de-los-momentos-1;
Don Tetto - Don Tetto;AKELA FAMILY MUSIC;View 12 tracks;2014-07-17T10:30:44.000Z;Album · 2014;93;13;https://soundcloud.com/akelafamily/sets/don-tetto-don-tetto;
De Venus Amarte;Natalia Vergara;View 10 tracks;2017-10-19T07:03:55.000Z;Album · 2018;19;4;https://soundcloud.com/nataliavergara/sets/de-venus-amarte-libro;
REGGAETON BEAT PACK VOL 1;Now&Laterz;View 9 tracks;2023-06-23T04:15:14.000Z;Album · 2023;2;Repost;https://soundcloud.com/nowandlaterz-1/sets/now-laterz-reggaeton-beat-pack;
ORIGINAL MUSIC;Rocío Ruano;none;2018-05-09T19:44:15.000Z;Compilation · 2018;4;Repost;https://soundcloud.com/rocioruanomusic/sets/rocio-ruano-music;
m0ra chel0;mora chelo;View 6 tracks;2019-02-13T07:01:06.000Z;EP · 2019;Like;Repost;https://soundcloud.com/morachelo/sets/m0ra-chel0;
Alejandro Sanz La musica no se toca;DeborahPinheiro;none;2012-11-14T13:26:00.000Z;Album;18;8;https://soundcloud.com/deborahpinheiro/sets/alejandro-sanz-la-musica-no-se;
Alejandro Sanz - 3;Luz Marán;none;2012-11-20T07:21:44.000Z;Album;6;Repost;https://soundcloud.com/luz-mar-n/sets/alejandro-sanz-3;
Cartografía (full album 2018);ZeJavier(oficial);View 12 tracks;2018-08-30T16:49:57.000Z;Album · 2018;1;Repost;https://soundcloud.com/javgonzalez/sets/cartografia-full-album-2018;
Covers Vol. 1;Alex López;View 8 tracks;2018-12-26T18:16:01.000Z;Album · 2018;11;Repost;https://soundcloud.com/alexlopez8010/sets/covers-vol-1;
Quisiera Ser (In the Style of Alejandro Sanz) [Performance Track with Demonstration Vocals];Done Again;none;2011-12-05T00:00:00.000Z;Album · 2011;1;Repost;https://soundcloud.com/doneagain/sets/quisiera-ser-in-the-style-of;
JAVIER VERCHER "WISH YOU WERE HERE_SOUND SAMPLERS";Javierverchermusic;View 7 tracks;2013-05-28T09:34:37.000Z;Album;7;1;https://soundcloud.com/javierverchermusic/sets/javier-vercher-wish-you-were;
Shhh! | 2014;Bristols;View 13 tracks;2014-07-03T16:04:38.000Z;Album;4;Repost;https://soundcloud.com/bristols/sets/shhh-2014;
Obsesivo;Jonathan Ramírez;View 11 tracks;2017-06-02T12:21:01.000Z;Album · 2017;2;Repost;https://soundcloud.com/user-375607867/sets/obsesivo;
46n1 - Unix Epoch;Agni Durden;none;2013-03-31T15:39:53.000Z;Album;9;1;https://soundcloud.com/agni-durden/sets/46n1-unix-epoch;
Usame (1993);TÓTEM;View 9 tracks;2016-04-06T22:38:23.000Z;Album · 1993;2;1;https://soundcloud.com/totemoficial/sets/usame-1993;
John Jacobsen @ House music all night long | Best of 2013;john jacobsen;none;2013-12-25T22:21:53.000Z;EP;12;1;https://soundcloud.com/john-jacobsen/sets/john-jacobsen-best-of-2013;
Basico;Luz Marán;none;2013-01-07T21:14:54.000Z;Album;Like;Repost;https://soundcloud.com/luz-mar-n/sets/basico;
Guaruba;Guaruba;none;2012-02-03T03:53:29.000Z;Compilation;1;Repost;https://soundcloud.com/guaruba/sets/guaruba;
