title_album;artist_album;tracks_album;time_posted;any_album;likes;repost;url_album;
(hart Adderall) Album 1;Yung Addy pop2addys;View 10 tracks;2022-04-05T16:10:39.000Z;EP · 2022;12;5;https://soundcloud.com/hart444/sets/hart-be4t;
(hart Adderall) Album 2;Yung Addy pop2addys;View 13 tracks;2022-07-22T14:49:26.000Z;EP · 2022;5;4;https://soundcloud.com/hart444/sets/kaitin-gay-hart-stopped;
F*CK LOVE 3+: OVER YOU;The Kid LAROI.;View 35 tracks;2021-07-27T00:00:00.000Z;Album · 2021;9,148;408;https://soundcloud.com/thekidlaroi/sets/f-ck-love-3-over-you-1;
WEEDKILLER;Ashnikko;View 13 tracks;2023-08-25T00:00:00.000Z;Album · 2023;1,058;53;https://soundcloud.com/ashnikko/sets/weedkiller-2;
High Concept;salem ilese;View 12 tracks;2023-09-15T00:00:00.000Z;Album · 2023;967;25;https://soundcloud.com/salemilese/sets/high-concept-2;
F*CK LOVE 3: OVER YOU;The Kid LAROI.;View 29 tracks;2021-07-23T00:00:00.000Z;Album · 2021;14.6K;615;https://soundcloud.com/thekidlaroi/sets/f-ck-love-3-over-you;
Silence Between Songs;Madison Beer;View 14 tracks;2023-09-15T00:00:00.000Z;Album · 2023;609;24;https://soundcloud.com/madisonbeer/sets/silence-between-songs;
Something To Give Each Other;Troye Sivan;View 10 tracks;2023-10-13T00:00:00.000Z;Album · 2023;390;14;https://soundcloud.com/troye-sivan/sets/something-to-give-each-other-1;
to hell with it;pinkpantheress;View 10 tracks;2021-10-15T00:00:00.000Z;Album · 2021;11.8K;546;https://soundcloud.com/pinkpantheress/sets/to-hell-with-it-1;
TrapStar Turnt PopStar (Deluxe Edition);PnB Rock;View 23 tracks;2019-05-03T00:00:00.000Z;Album · 2019;3,387;97;https://soundcloud.com/pnbrock/sets/trapstar-turnt-popstar-2;
Sunrise;Roger Hooijenga;none;2023-09-14T14:46:45.000Z;Album · 2023;96;Repost;https://soundcloud.com/user-836627196/sets/sunrise;
Album Pop Sunda Darso "Cang Cing Cong";Bandung Music Official;View 10 tracks;2018-03-01T17:16:24.000Z;Album · 2008;554;29;https://soundcloud.com/bandungmusicofficial/sets/album-pop-sunda-darso-cang;
Limitless Love;Alexboi0921;none;2023-09-10T15:00:31.000Z;Album · 2023;136;Repost;https://soundcloud.com/alexboi0921/sets/limitless-love;
Passionate Sun;Mismosolia129;none;2023-09-10T15:10:40.000Z;Album · 2023;97;Repost;https://soundcloud.com/mismosolia129/sets/passionate-sun;
tomboyish love for soda pop and apple sweets;goreshit;View 28 tracks;2019-01-19T02:05:22.000Z;Album · 2015;1,067;53;https://soundcloud.com/goreshit/sets/tomboyish-love-for-soda-pop-and-apple-sweets;
احمد سعد - اختياراتي 2023;البوم عمرو دياب عيشني - انت الحظ Amr Diab 2021 ✪;none;2023-07-02T03:25:35.000Z;Album · 2023;2,454;60;https://soundcloud.com/golden-music-awards/sets/2023-481777734ad;
Muse;Ren Dertin;none;2023-04-19T00:00:00.000Z;Album · 2023;246;Repost;https://soundcloud.com/rendertin/sets/muse-821101661;
Maanmatti Nimrat Khaira (Full Album);Unexpected Music;View 9 tracks;2023-10-08T10:35:49.000Z;Album · 2023;210;10;https://soundcloud.com/unexpected_music/sets/maanmatti-nimrat-khaira-full-album;
For The Night;POP SMOKE;View 6 tracks;2020-10-07T00:00:00.000Z;Album · 2020;10.3K;671;https://soundcloud.com/biggavelipro/sets/for-the-night-9;
Ishq Di Ep Jazzy B;Unexpected Music;View 7 tracks;2023-10-27T14:11:11.000Z;Album · 2023;111;17;https://soundcloud.com/unexpected_music/sets/ishq-di-ep-jazzy-b;
Mirror;Lauren Spencer Smith;View 15 tracks;2023-07-14T00:00:00.000Z;Album · 2023;1,084;29;https://soundcloud.com/lauren-spencer-smith/sets/mirror-626780011;
STARFUCKER;slayyyter;View 12 tracks;2023-09-22T00:00:00.000Z;Album · 2023;320;20;https://soundcloud.com/slayyyter/sets/starfucker-6;
DRAKE - FOR ALL THE DOGS;New Hip Hop Daily;View 25 tracks;2017-01-02T02:31:37.000Z;Album · 2023;28.5K;1,325;https://soundcloud.com/newhiphopdailyradio/sets/drake;
Tension (Deluxe);Kylie Minogue (Official);View 14 tracks;2023-09-22T00:00:00.000Z;Album · 2023;268;11;https://soundcloud.com/kylie-minogue-official/sets/tension-deluxe-1;
Drive Me;Adalene Alison;none;2021-02-02T00:00:00.000Z;Album · 2021;23;Repost;https://soundcloud.com/adalenealison/sets/drive-me-8;
Ocean of Emotion;Harley;View 15 tracks;2023-07-13T20:47:59.000Z;Album · 2023;31;5;https://soundcloud.com/user-699679199/sets/ocean-of-emotion;
Heartbreak Anniversary;Hlwan Paing;View 8 tracks;2023-10-13T00:00:00.000Z;Album · 2023;108;7;https://soundcloud.com/hlwanpaing-music/sets/heartbreak-anniversary-7;
Troublemaker;The Tricksy Kids;none;2022-07-08T00:00:00.000Z;EP · 2022;38;1;https://soundcloud.com/thetricksykids/sets/troublemaker-736269120;
Shenanigans;Palim Cahills;none;2022-07-22T00:00:00.000Z;EP · 2022;21;Repost;https://soundcloud.com/palimcahills/sets/shenanigans-600822574;
Etaj de amor;Gândacul Alb;none;2021-09-17T00:00:00.000Z;Album · 2021;17;Repost;https://soundcloud.com/gandaculalb/sets/etaj-de-amor;
Mood;Tuna Dyy;none;2022-04-07T00:00:00.000Z;Album · 2022;29;Repost;https://soundcloud.com/tunadyy/sets/mood-160259324;
How Many Styles;Andeeek Chor Tilda;none;2020-12-24T00:00:00.000Z;Album · 2020;12;Repost;https://soundcloud.com/andeeekchortilda/sets/how-many-styles;
Full Circle;HvlfSound;none;2021-04-21T00:00:00.000Z;Album · 2021;23;Repost;https://soundcloud.com/hvlfsound-music/sets/full-circle-33398398;
Sail to the Moon;Alinek Savil Moria;none;2020-12-23T00:00:00.000Z;Album · 2020;15;Repost;https://soundcloud.com/alineksavilmoria/sets/sail-to-the-moon-3;
Legendary Rain;Aarohi Elizabeth;none;2023-05-02T00:00:00.000Z;Album · 2023;17;Repost;https://soundcloud.com/aarohielizabeth/sets/legendary-rain;
Youth;Justina Zee;none;2022-04-08T00:00:00.000Z;Album · 2022;24;Repost;https://soundcloud.com/justinazee/sets/youth-559725169;
Pentru Cine Pana Cand;Strigoii Apusului;View 6 tracks;2022-06-26T00:00:00.000Z;Album · 2022;28;Repost;https://soundcloud.com/strigoiiapusului/sets/pentru-cine-pana-cand;
Up In The Clouds;Gloria Gaster;none;2023-05-30T00:00:00.000Z;Album · 2023;21;Repost;https://soundcloud.com/gloriagaster/sets/up-in-the-clouds-9;
On the Dock;Laya Abutin;none;2023-06-18T00:00:00.000Z;Album · 2023;13;Repost;https://soundcloud.com/layaabutin/sets/on-the-dock-2;
Pary Girl;Moet Kaphin;none;2022-10-24T00:00:00.000Z;Album · 2022;114;Repost;https://soundcloud.com/moetkaphin/sets/pary-girl-1;
Monster;Zoye Lisa;none;2022-04-08T00:00:00.000Z;Album · 2022;22;Repost;https://soundcloud.com/zoyelisa/sets/monster-732837150;
Memory;SkySea Zee;none;2022-04-08T00:00:00.000Z;Album · 2022;37;Repost;https://soundcloud.com/skyseazee-music/sets/memory-456897557;
Last Date;Tahirah Edwards;none;2023-06-03T00:00:00.000Z;Album · 2023;12;Repost;https://soundcloud.com/tahirahedwards/sets/last-date-6;
Night Tears;Leonardo Randazzo;none;2022-01-12T00:00:00.000Z;EP · 2022;31;Repost;https://soundcloud.com/leonardorandazzo/sets/night-tears-3;
Kotton Krown;Philipa Williams;none;2022-07-22T00:00:00.000Z;EP · 2022;35;Repost;https://soundcloud.com/philipawilliams/sets/kotton-krown-1;
I Can't Hate You;Man Thomas;none;2022-04-08T00:00:00.000Z;Album · 2022;28;Repost;https://soundcloud.com/manthomas/sets/i-cant-hate-you-1;
Beautiful Girl;Marilyn Zoe;none;2022-04-08T00:00:00.000Z;Album · 2022;36;Repost;https://soundcloud.com/marilynzoe/sets/beautiful-girl-580999140;
