title_album;artist_album;tracks_album;time_posted;any_album;likes;repost;url_album;
Archivo RCA: La Década del '50 - Varela-Varelita;Orquesta Varela-Varelita;View 25 tracks;2007-07-15T00:00:00.000Z;Album · 2007;Like;Repost;https://soundcloud.com/orquestavarela-varelita/sets/archivo-rca-la-decada-del-5;
Archivo RCA: La Década del '50 - Alfredo Gobbi;Alfredo Gobbi (El Violín;View 18 tracks;1997-07-15T00:00:00.000Z;Album · 1997;Like;Repost;https://soundcloud.com/alfredogobbielviolinromanticodeltangoysuorquestatipica/sets/archivo-rca-la-decada-del-50-4;
Archivo RCA: La Década del '50 - Hector Y Su Jazz;Héctor Y Su Gran Orquesta De Jazz;View 24 tracks;2007-07-15T00:00:00.000Z;Album · 2007;1;Repost;https://soundcloud.com/hectorysugranorquestadejazz/sets/archivo-rca-la-decada-del-50;
Archivo RCA: La Década del '50 - Aldo Calderón - Jorge Casal;Aldo Calderón Con Su Orquesta;View 22 tracks;2004-07-15T00:00:00.000Z;Album · 2004;Like;Repost;https://soundcloud.com/aldocalderonconsuorquestatipica/sets/archivo-rca-la-decada-del-50-5;
Archivo RCA: La Década del '50 - Jorge Caldara;Jorge Caldara y Su Orquesta Típica;View 23 tracks;2003-07-15T00:00:00.000Z;Album · 2003;Like;Repost;https://soundcloud.com/jorgecaldaraysuorquestatipica/sets/archivo-rca-la-decada-del-50-2;
Archivo RCA: La Década del '50 - Roberto Caló;Roberto Caló Y Su Orquesta Típica;View 18 tracks;2002-07-15T00:00:00.000Z;Album · 2002;1;Repost;https://soundcloud.com/robertocaloysuorquestatipica/sets/archivo-rca-la-decada-del-3;
Archivo RCA: La Década del '50 - Edmundo Rivero;Edmundo Rivero;View 20 tracks;2004-07-15T00:00:00.000Z;Album · 2004;Like;Repost;https://soundcloud.com/edmundo-rivero/sets/archivo-rca-la-decada-del-2;
Archivo RCA: La Década del '50: Alberto Mancione Vol.1;Alberto Mancione Y Su Orquesta Tipica;View 20 tracks;2003-07-15T00:00:00.000Z;Album · 2003;Like;Repost;https://soundcloud.com/albertomancioneysuorquestatipica/sets/archivo-rca-la-decada-del-7;
Archivo RCA: La Década del '50 - Hermanas Berón;Hermanas Berón;View 25 tracks;2009-07-15T00:00:00.000Z;Album · 2009;Like;Repost;https://soundcloud.com/hermanasberon/sets/archivo-rca-la-decada-del-6;
Archivo RCA: La Década del '50 - Orquestas y Conjuntos;Juan Carlos Caviello Y Su CuartetoTípico;View 24 tracks;2009-07-15T00:00:00.000Z;Album · 2009;Like;Repost;https://soundcloud.com/juancarloscavielloysucuartetotipico/sets/archivo-rca-la-decada-del-50-6;
